SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,2106.5915
501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,196.2398
501011003,51003,Busselton Region,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,1227.0638
501011004,51004,Margaret River,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,134.4277
501021005,51005,Australind - Leschenault,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,67.3083
501021007,51007,Capel,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,507.0606
501021008,51008,College Grove - Carey Park,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,9.7141
501021009,51009,Collie,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,1709.8149
501021010,51010,Dardanup,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,517.0762
501021011,51011,Davenport,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,11.7042
501021012,51012,Eaton - Pelican Point,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,9.9522
501021014,51014,Harvey,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,1660.633
501021015,51015,East Bunbury - Glen Iris,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,22.9687
501021016,51016,Waroona,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,832.2286
501021251,51251,Dalyellup,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,16.3306
501021252,51252,Gelorup - Stratham,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,65.254
501021253,51253,South Bunbury - Bunbury,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,11.2504
501021254,51254,Withers - Usher,50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,8.2177
501031017,51017,Bridgetown - Boyup Brook,50103,Manjimup,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,4163.8196
501031018,51018,Donnybrook - Balingup,50103,Manjimup,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,1559.8561
501031019,51019,Manjimup,50103,Manjimup,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,323.8187
501031020,51020,Pemberton,50103,Manjimup,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,9641.0808
502011021,51021,Dawesville - Bouvard,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,97.9248
502011022,51022,Falcon - Wannanup,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,9.5893
502011023,51023,Greenfields,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,9.9609
502011024,51024,Halls Head - Erskine,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,14.2469
502011025,51025,Mandurah,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,8.3954
502011026,51026,Mandurah - East,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,40.2182
502011027,51027,Mandurah - North,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,31.8412
502011028,51028,Mandurah - South,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,11.8268
502011029,51029,Pinjarra,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,808.8593
503011030,51030,City Beach,50301,Cottesloe - Claremont,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,9.8073
503011031,51031,Claremont (WA),50301,Cottesloe - Claremont,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,3.8719
503011032,51032,Cottesloe,50301,Cottesloe - Claremont,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,3.7511
503011033,51033,Floreat,50301,Cottesloe - Claremont,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,4.4196
503011034,51034,Mosman Park - Peppermint Grove,50301,Cottesloe - Claremont,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,5.4149
503011035,51035,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,9.7499
503011036,51036,Swanbourne - Mount Claremont,50301,Cottesloe - Claremont,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,11.7008
503021037,51037,Kings Park (WA),50302,Perth City,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,4.1819
503021038,51038,Mount Hawthorn - Leederville,50302,Perth City,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,3.8983
503021039,51039,Mount Lawley - Inglewood,50302,Perth City,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,7.0812
503021040,51040,North Perth,50302,Perth City,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,3.0904
503021041,51041,Perth City,50302,Perth City,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,10.9161
503021042,51042,Subiaco - Shenton Park,50302,Perth City,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,7.7961
503021043,51043,Wembley - West Leederville - Glendalough,50302,Perth City,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,6.5603
504011044,51044,Bassendean - Eden Hill - Ashfield,50401,Bayswater - Bassendean,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,10.3449
504011045,51045,Bayswater - Embleton - Bedford,50401,Bayswater - Bassendean,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,13.8115
504011046,51046,Maylands,50401,Bayswater - Bassendean,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,5.0165
504011047,51047,Morley,50401,Bayswater - Bassendean,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,10.5547
504011048,51048,Noranda,50401,Bayswater - Bassendean,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,4.9416
504021049,51049,Chidlow,50402,Mundaring,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,167.7411
504021050,51050,Glen Forrest - Darlington,50402,Mundaring,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,56.6584
504021051,51051,Helena Valley - Koongamia,50402,Mundaring,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,8.8361
504021052,51052,Malmalling - Reservoir,50402,Mundaring,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,318.3852
504021053,51053,Mundaring,50402,Mundaring,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,118.6696
504021054,51054,Swan View - Greenmount - Midvale,50402,Mundaring,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,15.1408
504031055,51055,Avon Valley National Park,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,74.9605
504031056,51056,Ballajura,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,23.8166
504031057,51057,Beechboro,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,47.1105
504031058,51058,Bullsbrook,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,253.8629
504031059,51059,Ellenbrook,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,37.7884
504031060,51060,Gidgegannup,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,304.8874
504031061,51061,Hazelmere - Guildford,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,16.919
504031062,51062,Lockridge - Kiara,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,14.6126
504031063,51063,Malaga,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,6.4045
504031064,51064,Melaleuca - Lexia,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,99.6581
504031065,51065,Middle Swan - Herne Hill,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,32.1547
504031066,51066,Midland - Guildford,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,11.7136
504031067,51067,Stratton - Jane Brook,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,23.4944
504031068,51068,The Vines,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,66.9985
504031069,51069,Walyunga National Park,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,17.9495
505011070,51070,Craigie - Beldon,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,7.1316
505011071,51071,Currambine - Kinross,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,5.9596
505011072,51072,Duncraig,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,7.6491
505011073,51073,Greenwood - Warwick,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,8.5644
505011074,51074,Heathridge - Connolly,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,6.6259
505011075,51075,Hillarys,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,6.2522
505011076,51076,Iluka - Burns Beach,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,5.8339
505011077,51077,Joondalup - Edgewater,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,15.6229
505011078,51078,Kingsley,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,7.8538
505011079,51079,Mullaloo - Kallaroo,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,5.888
505011080,51080,Ocean Reef,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,5.2646
505011081,51081,Padbury,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,6.0348
